Secteur,Taille_Entreprise,Anciennete_Annees,Ratio_Liquidite_Generale,Ratio_Liquidite_Reduite,Ratio_Endettement,Ratio_Capacite_Remboursement,Taux_Endettement_Net,ROE,ROA,Marge_Nette,Marge_Brute,Chiffre_Affaires_Log,Croissance_CA,Ratio_Fonds_Propres,Ratio_Tresorerie_Nette,Delai_Paiement_Clients_Jours,Delai_Paiement_Fournisseurs_Jours,Ratio_Couverture_Interets,Score_Altman_Z,Nb_Incidents_Paiement_12M,Nb_Credits_En_Cours,Defaut_Paiement
Transport,PME,21,1.22,2.48,0.88,7.97,1.48,0.109,0.253,0.177,0.472,16.61,0.028,0.36,0.64,56,67,19.56,4.38,1,2,0
Transport,TPE,30,1.57,0.56,1.06,11.73,1.0,0.455,0.147,-0.088,0.239,16.61,0.302,0.61,0.66,61,76,1.62,1.78,1,5,0
Tech,ETI,24,3.24,2.47,0.11,8.65,0.07,-0.266,0.005,0.106,0.766,18.48,0.035,0.46,0.5,58,62,11.99,4.62,1,5,0
Transport,TPE,44,3.48,2.45,1.41,8.51,0.49,0.102,0.252,0.117,0.413,17.52,0.018,0.34,-0.18,55,29,11.88,2.58,1,7,0
Services,ETI,42,0.44,2.03,1.36,2.16,0.93,0.167,-0.019,0.326,0.299,14.5,0.36,0.66,0.11,17,77,1.21,3.41,3,1,1
Industrie,TPE,30,2.74,1.72,0.17,2.33,0.08,0.436,0.103,0.077,0.186,16.13,-0.225,0.49,0.66,104,57,4.88,1.69,0,7,0
Transport,TPE,22,1.49,1.53,0.8,8.18,0.04,-0.261,-0.105,-0.032,0.233,16.88,-0.061,0.34,0.93,104,64,18.16,1.2,3,4,1
Transport,TPE,28,1.56,2.19,1.96,4.4,0.68,0.159,0.265,-0.061,0.675,15.13,-0.176,0.13,-0.38,15,74,11.12,4.41,3,5,1
Commerce,PME,7,2.71,0.87,0.9,0.81,0.5,0.383,-0.087,0.325,0.511,14.76,-0.041,0.72,0.3,93,73,9.01,0.99,0,5,1
Commerce,PME,35,3.24,1.28,1.05,10.98,0.66,-0.106,-0.049,-0.097,0.735,16.45,-0.17,0.08,-0.03,25,29,8.6,3.98,0,1,1
BTP,TPE,28,3.34,1.62,1.83,0.97,0.39,0.401,0.101,0.056,0.224,15.57,0.179,0.7,-0.16,115,43,17.82,3.11,0,6,0
Agriculture,ETI,14,2.15,1.15,1.46,9.13,0.25,-0.285,0.194,-0.088,0.141,16.44,0.398,0.32,0.26,21,89,7.66,4.38,1,3,0
Services,PME,10,1.44,1.18,1.21,8.32,1.03,0.286,0.129,0.264,0.055,16.13,0.387,0.53,0.41,26,54,17.25,3.73,0,3,0
Transport,PME,16,2.82,0.96,1.62,14.55,0.77,0.446,-0.046,0.085,0.431,17.19,-0.035,0.74,-0.49,52,45,6.53,1.77,2,2,1
Transport,PME,16,1.1,1.5,1.74,7.52,0.3,0.226,-0.15,0.011,0.799,16.43,0.589,0.16,0.67,68,87,10.86,3.08,3,7,1
Industrie,PME,31,2.11,2.16,0.97,1.42,0.48,0.051,0.191,0.017,0.571,15.2,0.194,0.48,0.73,81,25,3.3,0.56,1,0,0
BTP,PME,42,1.45,0.66,1.0,8.5,0.89,-0.264,0.293,0.311,0.281,16.82,-0.001,0.62,0.95,67,76,16.59,2.64,3,6,0
Agriculture,TPE,25,2.4,2.35,0.83,12.7,0.11,0.436,0.214,0.132,0.708,14.49,0.436,0.62,-0.23,104,89,14.85,0.89,1,7,0
BTP,TPE,13,1.07,1.78,1.94,14.95,0.22,0.076,0.057,0.231,0.636,12.42,0.33,0.44,0.39,108,22,10.84,2.43,0,4,0
Tech,ETI,6,0.91,2.09,1.42,6.74,0.11,-0.277,0.257,0.338,0.062,10.01,0.349,0.52,0.14,46,65,1.01,0.99,5,7,1
Agriculture,Grande Entreprise,44,3.24,1.48,0.26,5.14,1.22,0.252,0.034,0.341,0.663,15.6,-0.204,0.62,0.0,114,71,9.88,4.8,0,6,0
Transport,PME,9,0.63,1.99,1.74,13.65,1.13,0.085,0.086,-0.003,0.275,15.91,0.068,0.68,0.35,59,18,4.89,2.85,0,7,1
Transport,TPE,45,1.92,0.24,1.01,3.27,1.13,-0.201,0.065,0.371,0.162,19.72,0.462,0.62,0.67,65,50,8.56,4.61,0,0,0
Agriculture,PME,36,1.01,2.08,0.23,9.42,1.07,-0.129,0.051,-0.185,0.22,13.61,0.104,0.32,-0.47,51,33,17.2,0.6,0,0,0
Transport,PME,43,0.42,0.29,1.14,6.38,1.0,-0.248,0.199,0.026,0.401,13.94,0.283,0.8,0.95,73,38,15.51,3.37,1,4,1
Services,TPE,20,0.42,2.25,0.89,1.1,0.72,0.159,0.087,0.337,0.369,12.02,0.188,0.38,0.71,68,55,5.22,1.88,0,3,0
Agriculture,TPE,18,0.86,2.48,1.77,5.54,0.96,0.198,-0.007,-0.035,0.267,10.71,0.442,0.07,0.63,32,63,19.71,2.44,1,6,1
BTP,ETI,43,3.07,0.88,0.49,4.35,0.06,0.105,-0.034,-0.036,0.179,17.73,-0.115,0.32,0.64,15,60,18.11,4.43,0,7,1
Agriculture,PME,21,1.2,0.68,1.67,10.45,0.93,0.354,-0.133,-0.018,0.622,12.5,0.175,0.15,0.08,35,50,10.81,4.91,0,5,1
Transport,TPE,4,3.34,1.96,1.16,14.26,1.17,0.389,0.112,0.167,0.793,16.09,-0.277,0.14,0.63,42,24,10.84,1.61,0,2,0
Services,TPE,33,2.16,0.78,0.2,4.39,0.75,0.192,-0.047,0.063,0.633,16.88,0.29,0.26,0.08,30,21,18.07,4.77,0,1,0
Services,TPE,27,1.7,2.19,1.95,12.27,0.54,-0.29,-0.083,0.236,0.272,14.71,0.332,0.09,0.85,62,26,12.9,3.6,1,3,1
Tech,PME,7,2.16,0.44,1.07,1.3,0.42,0.256,0.144,0.337,0.234,18.76,-0.357,0.57,-0.23,42,62,10.97,4.78,0,2,0
BTP,TPE,6,1.95,0.49,0.65,8.3,0.96,0.034,0.157,0.205,0.213,14.44,0.276,0.11,-0.06,36,51,15.11,3.03,0,5,0
Commerce,TPE,15,2.73,2.45,0.99,1.52,1.04,0.152,0.188,-0.077,0.153,12.85,0.015,0.2,0.33,97,89,5.08,4.82,1,3,0
Commerce,ETI,18,1.2,1.75,1.73,14.04,1.31,0.219,0.077,0.36,0.463,18.96,-0.276,0.12,-0.02,15,50,17.63,4.52,0,6,0
Agriculture,TPE,32,1.43,2.15,0.68,11.61,0.51,-0.02,0.252,-0.041,0.504,18.62,0.02,0.1,0.14,109,74,10.86,1.08,0,4,1
Tech,PME,11,3.16,0.95,0.47,10.04,1.15,0.434,0.271,-0.11,0.579,11.64,-0.206,0.25,0.24,56,22,12.27,1.9,2,0,0
Industrie,TPE,20,3.33,1.76,0.35,12.45,0.84,-0.193,0.213,-0.146,0.56,10.26,0.016,0.48,0.78,112,21,2.25,1.59,2,4,1
Agriculture,TPE,24,3.16,1.57,0.67,9.89,1.32,0.237,0.136,0.138,0.269,10.9,-0.016,0.77,0.28,118,57,6.54,3.07,0,5,0
Tech,TPE,15,1.64,1.59,1.58,14.55,0.79,-0.297,-0.013,-0.132,0.298,12.87,0.338,0.71,0.04,84,72,8.82,4.11,1,1,1
BTP,ETI,48,2.8,1.77,1.0,10.85,0.78,0.44,0.292,-0.117,0.561,19.72,0.374,0.71,-0.13,106,60,8.57,3.92,0,7,0
BTP,ETI,7,1.82,1.52,0.53,13.91,0.87,-0.21,-0.027,-0.02,0.312,15.59,0.207,0.18,0.11,17,48,15.68,3.77,0,4,0
BTP,ETI,21,1.89,1.19,0.42,8.0,1.12,-0.224,-0.059,-0.031,0.209,13.73,-0.377,0.25,0.27,109,86,6.01,2.19,0,5,0
BTP,PME,42,0.95,0.83,0.73,2.2,1.45,-0.034,0.049,0.163,0.331,18.89,0.531,0.11,0.62,94,36,4.05,1.13,0,0,0
BTP,PME,26,2.19,1.97,1.89,8.16,0.11,-0.001,-0.124,0.29,0.254,14.53,0.286,0.63,-0.32,95,35,11.86,1.45,0,3,1
Tech,TPE,44,0.9,0.72,0.75,2.34,0.08,-0.129,0.29,0.257,0.116,13.15,-0.366,0.1,-0.17,58,29,12.49,3.84,1,2,0
Tech,TPE,14,1.36,1.79,1.98,9.09,1.41,0.168,0.115,-0.043,0.673,19.41,0.419,0.47,0.07,41,19,2.87,1.16,0,5,1
Services,ETI,37,3.04,0.74,1.02,7.5,0.79,0.054,0.101,-0.053,0.69,18.5,-0.2,0.24,0.04,65,31,0.55,1.5,0,5,0
Commerce,TPE,21,0.96,1.64,0.44,9.53,0.92,-0.273,0.145,0.379,0.215,18.44,0.179,0.23,0.09,38,86,18.39,2.41,0,6,0
Transport,TPE,18,0.53,1.92,1.79,0.65,0.72,-0.044,0.074,-0.195,0.099,15.12,0.067,0.79,0.69,34,33,2.05,0.82,0,1,1
BTP,TPE,5,0.52,0.7,0.97,3.33,0.14,0.348,-0.136,0.328,0.604,17.89,0.02,0.62,-0.01,46,19,18.01,1.46,1,3,1
Industrie,TPE,3,3.31,0.34,1.45,7.62,1.15,0.252,0.126,-0.08,0.209,11.79,0.49,0.68,0.25,113,37,8.28,1.17,0,5,1
Transport,TPE,23,1.92,0.5,1.97,14.28,1.12,0.28,0.172,0.368,0.345,15.73,0.037,0.48,0.44,27,28,13.23,4.78,2,5,0
Tech,PME,26,1.61,1.59,0.2,6.06,0.47,0.258,0.038,0.005,0.098,19.84,-0.325,0.7,-0.15,57,24,4.12,1.36,5,2,0
Industrie,PME,37,2.89,2.15,0.28,6.65,0.46,-0.051,0.191,0.064,0.22,12.91,0.547,0.53,0.58,34,45,16.57,4.38,0,7,0
Industrie,ETI,24,2.97,0.3,1.47,10.86,1.26,-0.22,-0.048,0.224,0.645,17.94,0.521,0.76,0.32,16,27,4.01,1.02,1,0,1
Industrie,ETI,49,1.36,1.89,0.64,9.25,0.11,-0.082,-0.05,0.153,0.653,14.9,0.284,0.26,0.17,82,36,8.04,4.41,0,4,0
Services,PME,19,2.52,0.99,0.45,4.83,1.32,0.365,-0.077,-0.009,0.205,10.4,0.068,0.5,0.71,105,51,5.14,3.2,0,6,0
Tech,TPE,25,2.77,1.3,0.17,6.46,0.38,0.484,0.017,0.132,0.302,17.63,-0.307,0.57,-0.13,74,53,16.83,4.32,5,3,0
Industrie,PME,21,2.39,2.34,0.14,3.66,0.89,0.095,0.231,0.238,0.151,11.69,0.391,0.34,0.82,103,24,17.24,4.4,1,2,0
BTP,PME,12,0.79,0.96,1.57,14.51,1.4,-0.292,0.223,-0.175,0.106,16.31,-0.325,0.71,0.34,18,45,7.75,3.18,0,2,1
Agriculture,TPE,41,3.1,1.27,0.36,2.39,1.02,-0.188,0.022,-0.193,0.794,10.86,-0.331,0.78,0.41,110,57,6.49,4.63,0,4,0
Industrie,PME,33,2.03,0.23,0.99,5.89,0.62,-0.042,0.115,0.075,0.542,19.47,0.137,0.42,0.81,31,50,15.58,3.13,2,3,0
Services,PME,4,1.2,0.39,1.25,0.87,1.03,0.163,0.174,-0.121,0.457,12.92,-0.24,0.34,0.73,15,49,17.63,3.71,2,3,1
Transport,PME,42,1.66,0.79,0.91,3.72,0.52,-0.24,-0.041,0.199,0.624,12.26,-0.392,0.4,0.4,47,82,12.67,2.37,0,6,0
Tech,PME,7,0.42,0.26,0.15,11.82,0.42,0.455,-0.074,-0.072,0.68,11.29,0.023,0.69,0.63,44,69,18.58,4.61,5,0,1
Services,TPE,22,0.71,1.65,1.59,3.42,1.5,-0.008,0.287,0.06,0.655,19.46,-0.263,0.53,0.15,19,82,7.97,4.21,2,3,1
Industrie,Grande Entreprise,33,2.75,1.18,0.12,1.66,1.13,0.43,0.128,-0.081,0.062,17.12,-0.239,0.08,0.32,26,61,3.46,1.25,0,6,0
Tech,ETI,17,0.3,1.46,1.55,7.38,0.97,0.324,0.292,0.129,0.19,17.42,-0.323,0.46,-0.41,116,20,4.0,3.09,5,5,1
Agriculture,TPE,24,1.63,0.6,1.8,0.64,0.53,0.304,0.002,-0.13,0.541,14.99,-0.195,0.06,-0.37,46,42,13.56,4.54,5,4,1
Industrie,ETI,34,1.97,0.88,0.92,1.73,0.07,0.185,0.166,-0.186,0.332,14.75,0.315,0.63,0.74,52,44,8.45,4.07,2,3,0
Services,PME,28,0.47,1.73,1.12,12.21,0.05,0.201,-0.05,-0.169,0.787,11.1,0.409,0.3,-0.41,31,41,3.55,4.83,5,7,1
Commerce,ETI,43,3.41,2.42,1.01,11.69,0.83,0.21,-0.032,0.373,0.549,15.6,0.053,0.4,-0.25,72,83,6.2,1.54,0,7,0
BTP,ETI,41,1.02,0.32,0.84,13.77,1.14,0.203,0.08,-0.115,0.767,12.47,0.107,0.65,0.69,54,53,10.85,2.15,0,0,0
Transport,PME,39,1.27,2.25,1.79,12.89,0.81,0.143,-0.006,0.225,0.201,19.77,-0.367,0.08,-0.5,110,49,2.87,2.78,2,2,1
Services,TPE,22,1.27,1.53,1.8,10.41,1.26,0.489,-0.075,-0.159,0.698,17.97,-0.331,0.17,-0.08,38,58,0.57,1.55,0,5,1
Tech,TPE,49,1.04,1.5,0.74,1.26,0.05,0.286,-0.032,-0.135,0.291,14.13,-0.142,0.35,0.38,26,29,18.39,2.27,0,3,1
Industrie,PME,17,0.3,1.35,1.27,11.85,0.55,0.322,-0.134,0.105,0.792,11.51,0.144,0.22,0.39,109,46,6.44,2.92,0,4,1
BTP,PME,34,2.63,0.36,1.86,12.76,0.36,0.398,0.167,0.079,0.168,17.85,0.34,0.3,0.67,33,43,4.82,1.36,0,3,1
Industrie,TPE,6,3.39,0.41,1.93,12.09,0.67,-0.127,0.071,0.371,0.437,11.22,0.205,0.8,0.26,43,77,14.12,1.66,3,6,1
Tech,TPE,46,1.02,1.58,1.07,7.87,0.11,-0.233,-0.108,0.367,0.645,11.89,-0.008,0.67,0.26,99,20,17.14,1.06,5,1,1
Industrie,ETI,6,2.42,0.98,0.96,3.88,1.43,0.086,-0.073,0.268,0.374,12.12,-0.282,0.71,0.59,104,41,12.83,3.71,0,7,0
Commerce,Grande Entreprise,34,2.67,2.31,0.63,12.76,0.33,0.111,-0.104,0.161,0.401,15.57,0.381,0.75,0.25,66,42,5.46,2.13,2,0,0
BTP,PME,1,3.01,1.14,1.92,11.04,1.38,0.363,0.126,0.073,0.79,17.87,-0.036,0.31,0.41,106,19,17.3,1.49,0,2,1
BTP,TPE,10,1.65,0.53,0.37,14.72,0.64,0.055,-0.108,0.014,0.369,13.14,0.336,0.27,0.85,31,55,10.45,2.78,3,1,0
Tech,TPE,21,1.27,1.84,1.2,2.76,1.48,0.157,0.189,0.368,0.503,10.85,0.113,0.23,0.1,87,70,7.93,0.81,0,4,0
Transport,TPE,5,1.34,0.87,0.64,3.77,0.83,0.122,-0.141,0.162,0.091,14.65,0.339,0.67,0.08,35,68,12.29,4.66,0,3,0
Commerce,Grande Entreprise,2,2.58,1.41,0.63,3.57,1.4,-0.269,-0.038,0.147,0.682,17.48,0.507,0.56,-0.49,74,32,14.16,1.83,0,0,0
Services,TPE,22,2.91,1.81,0.87,11.99,0.01,0.192,0.251,-0.061,0.536,12.22,0.521,0.23,0.42,112,57,12.08,4.49,5,5,1
Industrie,PME,48,0.88,2.27,2.0,3.21,1.12,0.362,0.173,-0.172,0.353,12.2,0.135,0.33,-0.46,89,88,18.44,2.74,0,6,1
Agriculture,TPE,2,1.49,2.02,0.2,1.47,1.35,-0.174,-0.117,0.367,0.062,19.47,0.112,0.43,0.26,34,43,12.75,4.33,0,6,0
Industrie,PME,10,3.19,1.76,1.2,14.98,0.21,0.175,0.22,-0.012,0.494,19.54,-0.134,0.45,0.71,67,24,17.63,1.61,0,3,0
Industrie,PME,34,2.88,1.76,0.26,0.86,0.14,0.175,0.072,0.066,0.059,19.9,0.536,0.72,0.32,117,20,11.95,1.29,0,7,0
Services,ETI,16,3.45,2.38,0.39,12.61,0.64,-0.169,0.231,-0.131,0.051,18.08,0.058,0.34,-0.1,94,18,6.93,4.32,5,3,0
Industrie,TPE,48,2.71,0.88,0.94,5.8,1.4,-0.201,0.12,0.302,0.512,11.88,-0.272,0.73,0.68,77,48,10.88,1.46,2,3,0
Commerce,TPE,39,1.56,0.2,1.07,12.7,0.81,0.484,0.157,-0.183,0.192,12.12,0.033,0.38,-0.1,71,47,2.18,3.86,0,5,0
Commerce,TPE,22,2.19,0.83,0.59,8.54,0.79,0.015,0.297,0.3,0.194,13.4,-0.273,0.61,0.6,43,18,4.99,2.05,0,3,0
BTP,Grande Entreprise,12,2.42,0.7,0.7,13.57,0.21,-0.118,-0.045,-0.116,0.54,13.18,0.103,0.75,0.42,15,58,15.44,3.87,2,0,1
Tech,ETI,24,0.55,1.72,0.27,13.93,0.0,-0.163,0.131,0.332,0.09,19.57,0.161,0.73,-0.25,96,45,13.4,4.58,3,5,0
Transport,PME,47,2.04,1.66,0.68,0.63,1.22,0.234,0.057,0.238,0.285,17.89,-0.062,0.09,0.86,73,80,3.75,4.92,2,5,0
Agriculture,PME,40,2.57,1.56,1.94,1.59,0.13,0.188,-0.132,-0.101,0.162,17.24,-0.328,0.2,-0.2,78,72,9.04,2.12,1,7,1
Industrie,PME,38,0.84,0.24,1.89,4.13,0.95,0.215,-0.143,0.139,0.485,11.86,0.544,0.41,0.98,100,74,3.27,2.15,0,1,0
Industrie,TPE,10,2.8,1.88,0.74,10.21,1.37,-0.23,-0.096,-0.012,0.546,19.1,0.373,0.37,-0.49,86,16,17.19,4.92,2,4,1
Services,Grande Entreprise,35,2.17,0.94,1.18,13.38,0.31,0.415,0.142,-0.093,0.591,18.28,0.439,0.53,-0.1,85,50,2.63,4.38,0,5,0
Tech,PME,49,3.35,1.73,1.83,7.17,1.0,0.011,0.105,0.316,0.241,11.64,-0.033,0.76,-0.2,103,84,13.26,0.7,0,1,0
Commerce,PME,32,0.44,1.48,0.11,9.3,0.12,-0.049,0.099,0.042,0.117,18.71,0.361,0.13,-0.48,108,74,12.34,3.08,3,0,1
Agriculture,PME,7,1.15,0.99,1.64,3.23,0.91,0.07,-0.136,0.039,0.109,12.72,0.085,0.39,0.6,112,37,9.72,1.32,0,4,1
BTP,TPE,21,2.22,0.51,1.9,12.17,0.25,0.012,0.061,-0.098,0.37,10.81,-0.199,0.19,0.54,58,61,5.93,4.97,1,5,1
Commerce,TPE,20,1.25,0.42,0.27,14.53,1.1,0.391,0.266,0.03,0.759,16.57,-0.276,0.72,0.69,62,60,8.38,1.13,2,2,0
Tech,ETI,26,2.59,2.11,0.41,4.39,0.45,0.443,0.029,0.323,0.213,16.54,-0.055,0.77,-0.11,119,58,16.22,3.02,5,1,0
Transport,TPE,4,2.73,2.31,1.93,7.67,0.7,-0.057,0.131,0.018,0.243,10.95,-0.262,0.41,0.17,89,33,15.35,3.49,0,0,0
BTP,PME,46,0.63,1.69,1.12,1.75,0.9,0.391,0.201,0.371,0.126,13.19,0.598,0.13,0.49,29,63,14.91,4.72,2,0,1
Transport,TPE,22,1.94,0.44,0.13,8.61,0.26,0.325,0.203,0.368,0.504,19.93,-0.351,0.64,0.16,49,72,15.12,4.31,0,0,0
Services,PME,15,1.93,1.12,0.59,7.79,1.11,0.445,0.084,-0.113,0.56,16.78,0.041,0.57,0.55,37,21,3.31,1.61,2,6,1
Services,TPE,40,1.48,1.88,0.95,2.59,0.45,-0.103,0.236,-0.094,0.532,17.3,0.052,0.32,0.45,67,55,2.43,3.08,1,4,0
Industrie,PME,21,3.29,1.99,1.42,6.91,0.99,0.162,0.026,0.318,0.696,12.13,-0.099,0.72,-0.33,59,29,17.3,4.79,0,7,0
Transport,ETI,15,2.95,0.47,1.49,5.34,0.24,-0.08,0.25,0.036,0.415,10.79,0.171,0.78,0.67,99,67,16.82,3.81,1,3,0
Tech,TPE,22,2.53,0.2,1.99,8.07,1.03,0.359,-0.042,-0.197,0.151,12.77,-0.25,0.47,0.58,106,37,13.79,3.6,5,2,1
Agriculture,PME,28,2.59,1.84,0.65,8.99,0.19,-0.296,-0.024,-0.036,0.267,12.49,0.384,0.47,0.48,27,87,12.32,3.9,1,4,1
BTP,PME,14,1.78,1.02,1.12,0.62,0.64,0.152,-0.126,0.159,0.547,12.35,-0.068,0.27,-0.27,48,79,7.65,1.95,5,4,0
Commerce,PME,27,3.25,0.79,1.11,11.53,0.37,-0.029,0.208,0.28,0.51,11.93,0.191,0.49,-0.1,52,74,4.87,3.78,0,7,0
Tech,Grande Entreprise,41,2.52,0.23,0.87,10.84,1.12,-0.042,0.038,-0.12,0.448,15.75,0.316,0.38,0.09,84,24,13.52,1.55,0,7,1
Tech,ETI,40,2.63,1.44,0.42,5.81,0.39,0.216,-0.047,-0.134,0.562,13.28,0.489,0.28,-0.08,82,72,18.3,2.43,1,5,0
Services,TPE,28,3.06,2.16,1.96,1.27,1.32,0.381,-0.046,0.353,0.528,18.2,0.436,0.1,-0.16,19,61,9.02,4.5,0,6,1
Transport,TPE,26,1.18,2.4,1.72,11.45,1.34,0.187,0.256,0.251,0.711,11.84,0.208,0.24,0.71,54,29,6.41,0.59,3,1,0
Industrie,TPE,49,2.88,1.5,1.05,14.35,0.29,0.383,0.225,0.154,0.49,14.65,-0.012,0.2,0.46,84,23,5.78,2.36,1,2,0
Industrie,PME,2,0.92,1.38,1.25,3.98,0.92,-0.088,0.099,0.262,0.634,10.14,0.103,0.46,0.35,35,27,0.96,1.7,0,0,1
BTP,TPE,25,1.41,0.4,0.53,5.19,0.13,0.116,0.127,0.057,0.237,14.82,0.369,0.5,-0.16,42,37,10.65,1.39,0,4,0
Services,PME,3,1.37,1.46,1.13,3.17,0.59,0.06,0.063,0.255,0.559,10.56,0.478,0.51,0.88,17,47,19.77,4.27,0,2,0
Tech,PME,8,3.43,1.07,1.42,8.87,1.07,-0.291,0.026,0.023,0.727,19.78,-0.296,0.34,-0.21,37,23,16.4,3.63,5,1,1
Agriculture,PME,44,3.04,1.6,1.08,2.75,0.99,0.145,0.262,-0.054,0.339,17.91,-0.015,0.37,0.69,86,17,18.0,1.01,0,3,0
Services,ETI,33,2.54,1.09,1.98,5.66,0.94,0.229,-0.093,0.237,0.634,14.9,0.376,0.68,0.95,33,87,12.61,2.73,1,2,0
BTP,TPE,42,2.63,0.75,1.26,10.61,0.42,0.174,0.038,0.052,0.594,10.87,0.032,0.41,0.59,89,39,9.89,2.6,0,6,0
BTP,TPE,35,2.1,0.42,0.8,8.62,0.57,0.289,0.005,0.389,0.095,15.92,-0.068,0.79,0.99,64,85,19.81,1.14,5,6,1
Services,ETI,6,3.33,0.92,1.57,6.1,0.15,0.157,0.074,0.01,0.486,17.59,0.011,0.38,0.48,88,50,9.22,4.1,0,0,0
BTP,PME,39,1.89,0.42,0.42,6.59,1.08,-0.247,0.056,0.353,0.148,11.91,0.203,0.54,-0.17,72,34,18.38,2.15,1,6,0
Services,PME,23,1.52,0.61,0.83,8.65,0.76,-0.207,0.084,0.36,0.775,15.68,0.6,0.09,-0.19,106,68,15.36,3.93,2,4,0
Commerce,PME,25,0.82,2.47,0.76,0.59,1.06,0.177,-0.087,-0.055,0.659,18.14,0.093,0.54,-0.01,34,33,6.95,1.36,0,3,1
Services,TPE,43,2.82,1.22,0.92,1.64,0.37,-0.08,0.081,0.279,0.132,17.68,-0.192,0.69,-0.49,106,74,10.31,1.92,0,7,0
Transport,ETI,19,2.65,1.42,1.59,13.28,0.49,-0.236,-0.041,0.06,0.141,18.03,-0.237,0.76,0.52,107,51,7.99,0.93,0,1,1
Services,ETI,5,1.53,2.21,1.02,1.63,0.5,0.044,-0.067,0.351,0.496,18.79,-0.358,0.8,-0.1,86,17,3.16,1.15,0,0,0
BTP,PME,11,0.38,2.49,1.61,10.75,0.04,0.143,-0.121,0.07,0.309,19.38,0.159,0.26,0.72,97,33,7.46,4.47,0,7,1
Transport,TPE,12,2.98,1.54,1.2,13.84,0.51,-0.037,0.193,0.247,0.076,14.06,0.145,0.48,0.04,67,67,17.83,0.99,0,3,0
BTP,PME,10,0.34,2.07,0.75,4.42,1.2,0.276,0.042,0.08,0.456,15.69,-0.195,0.39,0.22,99,60,15.18,0.93,0,5,0
Industrie,PME,8,2.55,0.95,1.64,5.87,1.35,0.215,0.132,-0.063,0.341,17.91,0.295,0.47,0.95,96,70,5.91,4.73,5,5,1
Industrie,TPE,24,3.4,0.9,0.55,8.75,0.78,-0.034,0.177,-0.08,0.126,16.97,0.341,0.17,-0.14,23,84,7.67,3.41,0,1,0
Transport,Grande Entreprise,28,1.7,1.13,0.53,13.28,0.68,0.304,0.156,0.055,0.651,19.96,-0.141,0.69,0.58,18,45,12.52,0.95,0,0,0
Commerce,TPE,41,1.05,1.75,1.06,14.16,0.05,0.219,0.062,0.253,0.736,10.14,-0.056,0.73,0.63,55,67,8.61,4.87,0,6,0
Industrie,Grande Entreprise,36,2.56,1.77,0.6,11.22,1.32,0.21,0.025,0.163,0.617,13.55,0.59,0.39,-0.17,39,48,10.31,1.16,0,4,0
Services,PME,37,2.91,0.93,0.12,1.76,0.02,0.143,0.019,0.213,0.667,12.81,-0.026,0.26,0.25,48,45,14.11,3.95,0,1,0
BTP,TPE,21,2.05,0.51,1.33,10.2,1.42,-0.291,0.138,-0.031,0.212,12.62,0.361,0.16,0.03,87,74,9.61,0.66,0,6,1
Industrie,PME,8,3.39,1.65,1.07,6.45,0.73,0.257,0.073,0.089,0.248,12.23,0.053,0.56,0.66,23,25,4.22,3.31,0,3,0
Industrie,ETI,9,0.47,0.5,0.95,7.33,0.51,0.001,0.232,-0.173,0.206,17.09,0.393,0.28,0.43,96,20,10.65,2.96,0,0,0
Commerce,ETI,47,1.92,1.53,1.94,1.21,1.39,0.454,0.244,0.291,0.624,10.85,0.369,0.73,0.21,89,41,7.44,1.44,1,5,1
Transport,ETI,15,2.6,1.79,1.19,3.27,0.04,0.354,-0.073,0.394,0.761,17.42,0.268,0.55,0.67,27,21,6.17,3.39,0,5,0
Transport,PME,48,3.06,1.81,1.74,11.96,0.87,0.17,-0.089,0.044,0.588,16.93,0.455,0.53,-0.15,116,63,6.9,3.28,0,2,1
Tech,PME,46,0.87,1.93,0.36,7.08,0.82,-0.098,0.134,-0.193,0.711,12.51,0.539,0.47,0.63,23,86,9.06,4.09,2,0,0
Commerce,ETI,40,2.86,2.21,1.18,4.87,0.33,-0.137,-0.014,-0.098,0.529,12.53,0.18,0.08,0.8,94,74,17.79,4.44,1,3,1
Services,TPE,18,2.07,1.35,1.75,6.07,0.64,-0.028,-0.142,0.192,0.341,16.29,-0.163,0.75,0.82,18,47,14.81,2.8,0,3,1
Transport,PME,42,1.57,1.88,1.21,12.89,0.98,0.081,0.25,0.167,0.369,17.62,-0.001,0.52,0.68,48,61,13.52,2.71,0,2,1
BTP,TPE,20,0.72,1.62,1.46,11.36,1.09,-0.063,-0.048,0.273,0.106,18.76,0.358,0.8,0.11,21,58,9.69,3.3,0,6,1
Commerce,Grande Entreprise,6,3.07,0.63,0.81,4.45,0.0,0.112,0.268,-0.048,0.074,18.52,0.251,0.45,0.97,29,41,0.54,3.78,0,3,0
Industrie,Grande Entreprise,12,0.8,0.26,0.28,2.2,1.41,-0.168,0.173,0.258,0.572,19.65,-0.222,0.58,0.07,52,36,7.14,2.1,0,6,0
BTP,TPE,2,1.29,0.85,0.97,4.15,0.25,0.482,0.193,0.213,0.379,15.81,-0.349,0.09,0.46,89,61,16.36,2.77,0,6,0
BTP,ETI,7,1.23,1.22,0.85,13.85,0.35,-0.214,-0.059,-0.006,0.464,19.09,0.283,0.52,-0.26,110,62,8.07,3.13,1,0,1
Industrie,Grande Entreprise,16,3.09,1.62,1.75,8.93,0.4,0.446,-0.045,0.127,0.468,18.09,-0.149,0.62,0.97,105,44,11.49,4.95,1,6,1
